"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"Austria",2.08,0.74,0,0.01,0.12,
"Belgium",1.11,2.67,0,0.36,0.22,
"Bulgaria",0.14,0.06,,5.58,0.79,
"Croatia",0.21,0.08,,2.81,0.01,
"Cyprus",0.08,0.09,,0.03,,
"Czech Republic",0.21,0.13,0,2.28,0.41,
"Denmark",3.72,3.1,0.01,0,0.01,
"Estonia",0.31,0.07,0,0.65,0.32,
"Finland",1.16,2.49,0,0,0.39,
"France",1.75,0.94,0,0.42,0.03,
"Germany",1.99,1.79,0,0.68,0.19,
"Greece",0.1,0.19,,3.43,0.08,
"Hungary",0.72,0.32,,0.5,0.06,
"Iceland",5.8,6.56,0.01,0,0.59,
"Ireland",1.4,0.94,,0.02,0.01,
"Italy",0.42,0.42,0,5.87,2.44,
"Latvia",0.47,0.07,,5.86,0.03,
"Liechtenstein",1.1,0.19,,0,,
"Lithuania",0.43,0.28,0,5.92,0.05,0
"Luxembourg",3.13,2.62,0,0.08,0.04,
"Malta",0.78,0.76,,0.53,,
"Netherlands",3.44,1.88,0.01,1.28,0.12,0
"Norway",17.83,5.23,0.01,,0.02,
"Poland",0.09,0.09,0,11.86,0.02,
"Portugal",1.01,0.93,0,0.79,0,
"Romania",0.27,0.1,,2.55,0,
"Slovakia",0.17,0.15,0,1.78,0.12,
"Slovenia",0.61,0.12,,0.91,0.03,
"Spain",0.4,0.45,0,0.28,0.08,
"Sweden",3.97,4.91,0,0,0.97,
"Switzerland",2.21,1.39,0.01,0,0.32,
"Turkey",0.08,0.01,,26.12,0,
"United Kingdom",1.76,1.14,0,0.07,,
